Mensagem,Tópico,Subtópico
Olá,Outros,
Opa,Outros,
"Salve, ",Outros,
"Fiquem a vontade para incluir nessa tarefa outros tópicos, como por exemplo um item próximos passos",Outros,
Boa Tarde !!!,Outros,
‎STK-20241002-WA0030.webp (arquivo anexado),Outros,
"Pessoal, ",Outros,
Esse trabalho é fonte de outro trabalho importante da FGV sobre o tema.  Ainda não revisei todo o conteúdo dos 5 dias da Consulta Aberta do CNJ e não posso confirmar ainda se há menção ao texto.  Vou enviar também essa bibliografia.,Ferramentas e Plataformas,Zotero
Seja bem vindo Victor.,Ferramentas e Plataformas,
"Muito obrigado, Luiz. Vamos juntos descobrir como usar da melhor maneira a IA no Direito.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎Entendendo Algoritmos Definições e Aplicações na Matemática e Informática.pdf (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
o arquivo acima é o registro na blockchain do estado das discussões.,Conceitos Técnicos e Fundamentos de IA,
‎2024-10-06_07-12-14-Carta Ética Europeia sobre a utilização da IA nos sistemas judiciais e no respetivo ambiente.pdf (arquivo anexado),Ferramentas e Plataformas,Geral
"Pessoal, com esses dois trabalhos que deixo aqui para vocês vou aproveitar para focar nos processos que preciso acompanhar aqui. A conta do uso nessas duas últimas semanas chegou e veio bem cara. Vou pesquisar modelos mais baratos para que possamos manter a operação do grupo.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
"Para o próximo encontro, seria muito bom que alguns de vocês já pesquisassem sobre duas ferramentas que vou deixar o link abaixo: obsidian e zotero.",Ferramentas e Plataformas,Geral
https://obsidian.md,Ferramentas e Plataformas,Obsidian
https://www.zotero.org,Ferramentas e Plataformas,Zotero
Seja bem vindo Dr Wanderlei!,"Questões Éticas, Regulatórias e Sociais","Regulação, Direito e Governança da IA"
"Bem vindo Dr. Wanderlei. É um prazer tê-lo conosco. Fique a vontade para se apresentar ao grupo e falar um pouco de como acredita que um grupo de estudos como o nosso pode te ajudar. Se quiser acrescentar mais informações, fique a vontade.  Depois compartilharei uma pasta com os materiais que estamos produzindo.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Obrigado @5511960285788 por trazer uma amigo.,Conceitos Técnicos e Fundamentos de IA,
"boa noite. Tenho trauma do zotero. Há algum tempo, tentei e não consegui usar.",Ferramentas e Plataformas,Zotero
Então vamos resolver isso meu amigo.,Ferramentas e Plataformas,
Bem vindo Caio,Ferramentas e Plataformas,
Se apresenta aí pro grupo. Pra gente te dar as boas vindas,Ferramentas e Plataformas,
Sou advogado e moro em Bauru SP,Ferramentas e Plataformas,
"Bem-vindo, Caio.",Ferramentas e Plataformas,
Seja bem-vindo!!!,Ferramentas e Plataformas,
"Obg. Bom dia. Meu nome é vallerie maia. Conforme conversava com luiz Peixoto ontem, o PNe é um projeto/pratica conceitual que ja venho adotando antes da pandemia e pretendo aperfeiçoar/automatizar com o uso da IA. Espero contribuir com os demais compartilhando experiências com uso da IA no fluxo de trabalho para gerarmos valor mútuo neste grupo.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
Tenho usado o obsidian mais API do smart connection como segundo cérebro (digital juridico) para construir uma base de conhecimento que possa ser potencializada com a IA (=superagentes de IA).,Ferramentas e Plataformas,Obsidian
"Olá Vallerie, seja bem vinda.",Ferramentas e Plataformas,
Salve Caio de Bauru!,Ferramentas e Plataformas,
"Sim, Vallerie, ",Ferramentas e Plataformas,
Mas a ideia é um passo depois disso:,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
E pra que serve essa medida?  É uma medida que pode nos fornecer a capacidade de processamento.,Conceitos Técnicos e Fundamentos de IA,Hardware e Infraestrutura
"Podemos medir o que o grupo faz, sem e com AI.  Ao mesmo tempo que podemos avaliar o avanço e aumento da produtividade.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
"O maior escritório do Brasil, estima-se em 8000 advogados, ou 8kPG.  Que tal se pudessemos montar uma estrutura que correspondesse a sua capacidade de trabalho e produção não com 8k pessoas?  Pegaram a ideia?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://share.note.sx/jitral2u,Conceitos Técnicos e Fundamentos de IA,
👏,Conceitos Técnicos e Fundamentos de IA,
Bora atualizar isso para incluir a tua parte de contribuição @558182243530 .  Vamos começar a pensar em como vamos capacitar o nosso pessoal.,Conceitos Técnicos e Fundamentos de IA,
https://www.instagram.com/reel/DAHbD8igkLH/?igsh=bHFrcGxlNnd0MHkx,Conceitos Técnicos e Fundamentos de IA,
Bem vindo Leo,Conceitos Técnicos e Fundamentos de IA,
‎IMG-20241010-WA0031.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
‎IMG-20240930-WA0121.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
https://www.conjur.com.br/2024-out-10/nos-antecipamos-as-necessidades-dos-advogados-diz-magistrado-que-zerou-acervo-com-ia/,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://youtu.be/wPEyyigh10g?si=m8YFwy6h41QmgJOa,Conceitos Técnicos e Fundamentos de IA,
https://youtu.be/UbDyjIIGaxQ?si=Hj1fDJnsR5WTCfWh,Conceitos Técnicos e Fundamentos de IA,
"Bom dia, pessoal",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Bom dia Viny, seja bem vindo.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Fechado, Luiz",Conceitos Técnicos e Fundamentos de IA,
Temos feito sempre uma rodada de apresentação inicial em que quem está chegando nos dá um pouco de informações a seu repeito para o grupo ver como pode auxiliar em seus projetos e se reorganizar com o que já estava em andamento.  Fique a vonatde.,Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais
"Me chamo Vinyel Victor, sou advogado, concurseiro também de carreira, então muitas coisas da inteligência artificial também utilizo em outros projetos, não apenas ligados à advocacia. Meu romance com IA aplicada ao Direito começou recente, quando descobri que na minha seccional não tinha Comissão de IA, então decidi criar uma e ser o presidente para tomar a frente do tema, e desde então não parei mais. Estudo métodos, ferramentas, formas de integrar mais e mais a IA a minha realidade para que as pessoas saibam do real potencial da IA. Coisa que poucos sabem. Também estudo a IA como forma de potencializar projetos pessoais, como até mesmo a criação de uma start-up.",Ferramentas e Plataformas,Geral
"Que interessante.  Isso expende muito nossos horizontes.  Por hora vislumbro algumas áreas em que podemos nos organizar.  Temos um pessoal que auxilia com as plataformas digitais de reuniões online, produtores de conteúdo, gente ligada a projetos de formação acadêmica e escritórios de prática jurídica, há quem cogite de ampliarmos algo para escritórios e atendimento às seccionais - talvez um projeto. Alguns contatos acenam também para aplicações quotidianas como verificação de precedentes. Outros mais avançados tratam de questõe relativas à autocomposição, jurismetria e predição de tendências, chats e automação do processos.",Ferramentas e Plataformas,Geral
Todos os temas são interessantes,Ferramentas e Plataformas,
"Sim, estou trabanhdo agora no framework para github e o material que vamos usar, depois poderemos expandir para contratos eletrônicos e ethereum",Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais
<Video note omitted>,Aplicações Jurídicas Práticas,
Tenho um agente que auxilia na revisão de conteúdo de concurso e simulação de novas questões,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Estou aceitando qualquer mecanismo que auxilie na preparação,Conceitos Técnicos e Fundamentos de IA,
Vou anotar aqui,Conceitos Técnicos e Fundamentos de IA,
"Núcleo, ",Conceitos Técnicos e Fundamentos de IA,
Olá!,Conceitos Técnicos e Fundamentos de IA,
Estou cuidando agora de pensar na melhor configuração para o github e como treiniar o pessoal com as ferramentas que vamos utilizar no trabalho.,Ferramentas e Plataformas,Geral
Irei ler depois!  Boa noite !,Ferramentas e Plataformas,
https://youtu.be/CMqfrhMQj_I?si=l8T5_crZzpj3Er2k,Ferramentas e Plataformas,
Seja bem vinda Dr Angélica!,Ferramentas e Plataformas,
"Bem vida,",Ferramentas e Plataformas,
"Boa tarde, amigos causídicos!",Ferramentas e Plataformas,
"Logo vou disponibilizar o repositório do GitHub com alguns prompts. O trabalho está no ritmo que consigo impor aqui com os afazeres do escritório, mas logo já devemos ter algum material para treinamento",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Ok!,Conceitos Técnicos e Fundamentos de IA,
https://youtu.be/Y3Xj9WwvaLw?si=I0DtXC9jthnUtlRp,Conceitos Técnicos e Fundamentos de IA,
"Pessoal, já temos uma api gratuita para interagir com agentes a partir do whatsapp",Ferramentas e Plataformas,Código e Bibliotecas
https://www.youtube.com/live/S62Zh47clf4?si=QMJagNUbJyLG9EN3,Ferramentas e Plataformas,
Aproveitando o ensejo,Ferramentas e Plataformas,
"Vou encabeçar um projeto em nível de subseção e um a nível estadual dentro da OAB MT ligada a IA e novas tecnologias para o Direito. Eleições ocorreram ontem. Dito isso, vou pegar ideias de como implementar isso, já com a ideia dos diálogos trocados atualmente, então conforme for sendo tratado em pauta, seria interessante a colaboração dos demais membros neste sentido",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Parabéns pela vitória. Conte com meu apoio.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://chat.deepseek.com,Ferramentas e Plataformas,LLMs e Modelos
Qual modelo utiliza?,Ferramentas e Plataformas,
deepseek,Ferramentas e Plataformas,LLMs e Modelos
https://www.deepseek.com,Ferramentas e Plataformas,LLMs e Modelos
A documentação está ai,Ferramentas e Plataformas,
‎IMG-20241127-WA0018.jpg (arquivo anexado),Ferramentas e Plataformas,
Achei q é usava alguma api existente,Ferramentas e Plataformas,Código e Bibliotecas
E aquela vercel ia playground?,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
A api é do deepseek mesmo.,Ferramentas e Plataformas,LLMs e Modelos
E a outra?,Ferramentas e Plataformas,
Que outra?,Ferramentas e Plataformas,
.,Ferramentas e Plataformas,
Vercel ia playground,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://www.perplexity.ai/search/traga-informacoes-completas-so-bAf62fYoR3qdlnNfWGZLbg,Ferramentas e Plataformas,LLMs e Modelos
quando ao vercel sdk já ouvi falar mas nunca testei. Me parece um hub para criação de integrações e desenvolvimento em js,Ferramentas e Plataformas,Código e Bibliotecas
"A questão em que sempre acabamos batendo é nos custos.  Para manter a segurança precisamos usar modelos opensource, mas precisamos de processamento para manter a segurança.  Caso contrário acabamos pagando altos preços dos modelos proprietários e entregando todo o ouro para as corporações.  Imagine todos os processos do escritório sendo acessados pela open ai?   Veja o projeto que fizeram ->  https://www.pjeia.com.br",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
"A forma de mitigar esses riscos é utilizar os modelos abertos e apostar em um sistema de baixo custo.  Enfim, discussão bem longa...",Código Aberto e Custo,Open Source e Transparência
https://youtu.be/CK0oj9Ktfec?si=mWq3aMpaFg9oKy1-,Código Aberto e Custo,
agora que vi que a plataforma indicada cobra pelos serviços. De minha parte não há endosso para inscrições.,Ferramentas e Plataformas,Geral
https://youtu.be/eXdVDhOGqoE?si=AJbDIDNnHjV_qMM1,Ferramentas e Plataformas,
"Bom dia, quem já usou o ADAPTA? O que acharam?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://mammouth.ai/pricing  oferece o mesmo por menos preço.,Código Aberto e Custo,Custo e Viabilidade Econômica
Prefiro o inner,Código Aberto e Custo,
escala bem maior e mais barato,Código Aberto e Custo,Custo e Viabilidade Econômica
"É sempre bom ter dedundância nesses sistemas. Não dá para colocar todos os dados em uma plataforma só. Se a plataforma acaba, você perde tudo.",Ferramentas e Plataformas,Geral
Não vai acabar do dia pra noite,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Olá pessoal - Leo Toco por aqui.,Conceitos Técnicos e Fundamentos de IA,
"A taxa de mortalidade das startups é alarmantemente alta, com várias estatísticas indicando que a maioria delas não sobrevive por muito tempo. ",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
O uso médio das pessoas é baixo.,Conceitos Técnicos e Fundamentos de IA,
A tese da Inner me parece ser na que o usuário usa pouco. ,Conceitos Técnicos e Fundamentos de IA,
Ou seja - arriscado sobretudo para quem pensa em usar bastante no dia a dia,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Na minha humilde opinião o foco não deveria ser economizar os 20 dolares e sim gerar 100x mais $ com os 20 dolares investidos,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Tenho conhecimento,Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica"
O problema é o orçamento,Código Aberto e Custo,Custo e Viabilidade Econômica
"Posso te dar um exemplo, vão remover a função de áudio dentro da plataforma pelo alto custo não compensar a quantidade usuários que utilizam",Ferramentas e Plataformas,Geral
"mas se não tem atividade para mandar pra IA, mesmo a Inner é cara",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Fundamental entender que ninguém vai depender só de uma plataforma para fazer as coisas, o uso acaba sendo ramificado",Ferramentas e Plataformas,Geral
Não entendi o ponto,Ferramentas e Plataformas,
"Prazer, já nos conhecemos em outros grupos que estamos inseridos! Seja bem vindo!",Ferramentas e Plataformas,
Obrigado!,Ferramentas e Plataformas,
Correria da vida mas espero conseguir contribuir mais por aqui,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Pesssoal, ",Conceitos Técnicos e Fundamentos de IA,
Gostei!,Conceitos Técnicos e Fundamentos de IA,
Vai melhorar. Vou automatizar com agentes com crewai,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"E depois que o código estiver pronto, com o Claude desktop vamos pedir um módulo destes com o tema que quisermos, por exemplo: direito constitucional adpfs direito bancário e direito do consumidor, prepare um módulo de estudo, exporte para pdf e envie pelo whatsapp para meus grupos de estudos",Ferramentas e Plataformas,LLMs e Modelos
"O Crewai precisa de conhecimento em TI, tenho assistido algumas aulas",Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica"
"Um pouco. Com o Cursor, um pouquinho só de Python",Ferramentas e Plataformas,IDEs com LLM
Maravilha lerei com calma,Ferramentas e Plataformas,
Até assisti uma aula sobre Python mas precisa se dedicar um pouco para entender a linguagem,Ferramentas e Plataformas,Código e Bibliotecas
"Tem uma curva de aprendizado, mas ela diminuiu bastante",Ferramentas e Plataformas,
"Aí fica puxado, entendo um pouco do tema, mas bem por cima",Ferramentas e Plataformas,
"Não se preocupe; se já começou, apenas continue a marcha. Um pouco de cada vez",Ferramentas e Plataformas,
Bom dia!!,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Muito bom!,Conceitos Técnicos e Fundamentos de IA,
Vou testar. Ter o controle das fontes é essencial.,Ferramentas e Plataformas,Zotero
Salve meu amigo!,Ferramentas e Plataformas,
*consegui fazer um em português*. A voz feminina representa o que a AI aprendeu com o algoritmo,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Tá funcionando padrão ou fez algo pra fazer funcionar?,Conceitos Técnicos e Fundamentos de IA,
"ah, isso foi uma hackeada no sistema que aprendi a fazer.  Mas o modelo Gemini Flash 2.0 lançado ontem já consegue ser multimodal nos dois sentidos. O que isso significa? Ele tem noção espacial, alguma coisa de reasoning, tem capacidade de ver re ""ouvir"" os sons; só que agora ele pode além de consultar a internet, responder com voz, textos e até filmes.  Ainda é o flash e o modelo completo sairá em daqui a pouco. Desconfio que depois que o GPT lançar sua nova versão completa, o Sora é um exemplo.  Mas estou mais com os modelos mais simples e de baixo custo.  Os de engenharia aberta possibilitam maior  controle dos algoritmos como é o exemplo do estudo de caso que apresentei a pouco.",Ferramentas e Plataformas,LLMs e Modelos
Utilizei o Perplexity para a pesquisa inicial de contexto.,Ferramentas e Plataformas,LLMs e Modelos
‎IMG-20241212-WA0010.jpg (arquivo anexado),Ferramentas e Plataformas,
"Na segunda parte, utilzei o DeepSeek-R1 - gratuita porém com janela de contexto mais reduzido. O que me impôs o desavio de criar loops para um algoritmo que fosse consistente e pudesse ser reproduzido para partes diferentes do conteúdo gerado.",Ferramentas e Plataformas,LLMs e Modelos
O que me economizou os 200 dolares por mês do custo da versão full do GPT,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
Eu tenho a versão pro do perplexity,Ferramentas e Plataformas,LLMs e Modelos
Já os modelos da Antropic vão entrar na próxima etapa ,Ferramentas e Plataformas,
Quem é cliente vivo tem a promoção de 1 ano grátis da perplexity,Ferramentas e Plataformas,LLMs e Modelos
"É excelente, uso a todo momento.  Ele vai entrar depois",Ferramentas e Plataformas,
Os da antropic vão  ajudar na parte do código e na criação dos agentes.  A ideia é que cada processo seja documentado com os algoritmos e gerem uma avaliação e o self-learning e self-improuvment.  Claro que esse self é supervisionado.  Ai é que nós entramos forte com as discussões e avaliações.,Ferramentas e Plataformas,Código e Bibliotecas
"Vou esperar uns dias e ler essa primeira parte da bibliografia para checar os resultados e fazer uma avaliação minuciosa. Talvez expandir um pouco.  Enquanto isso vou tentar entrar em contato com Matthew Berman, Joao Moura,  Daniel Miessler que são caras que me inspiram bastante, por isso deixei os textos em inglês e português. Berman é um cara de visão e está inteirado e informa com muita precisão sobre todos os testes comparativos e tecnologias, está desenvolvendo algo muito parecido com esse algoritmo que apresentei para vocês, com quem? Com o João que é o nosso brazuca criador do crew ai. O Miessler é o cara  que inspirou muito meu trabalho recente, com o fabric. Os prompts do cara são simplesmente incríveis.  Não só pelo resultado, mas porque são transparentes e você aprende muito se entender o processo.  Todos alinhados com a visão de opensource e também de formação e treinamento.  São uma espécie de super astros no youtube, mas quem sabe eu não consiga chegar a eles.  Vou pedir ajuda na fase de criação e apresentar o trabalho.  Mas mesmo que não consiga, estou seguindo de pertinho o desenvolvimento que estão fazendo.",Ferramentas e Plataformas,Zotero
https://youtu.be/Aq3CEjUxFxU?si=yWzg9hdXmjTIFPHR,Ferramentas e Plataformas,
https://youtu.be/YX09aXcFpkA?si=BmAXn8mZ0PmrGwro,Ferramentas e Plataformas,
https://youtu.be/twzgEBabOBk?si=ywqKyQwd4sR5cuyt,Ferramentas e Plataformas,
https://youtu.be/nTQIYWgn-lQ?si=oO25rLZe7pMMpFvA,Ferramentas e Plataformas,
"E claro, tem também o Sandeco",Ferramentas e Plataformas,
"Eu já uso essa IA, mas gratuita, preciso explorar mais essa ferramenta para extrair o melhor dela <Mensagem editada>",Ferramentas e Plataformas,Geral
Eu também. Um pouquinho a cada dia,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Esse negócio tira o sono, se não tiver cuidado, adoece",Conceitos Técnicos e Fundamentos de IA,
"Todos os dias fico aqui no computador estudando sobre Inteligência Artigicial, tira o sono, tem sempre algo novo e mais potente. Quase não desligo disso. Mas para área do direito preciso aprender muito, está sendo um software muito avançado essas ferramentas com esses logaritmos. <Mensagem editada>",Ferramentas e Plataformas,Geral
Assunto para estarmos atentos nas possíveis discussões sobre direitos autorais de conteúdo produzido pela IA. ,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
@5511960285788 Sensacional esse arquivo.  Levanto algumas questões adicionais: ,Conceitos Técnicos e Fundamentos de IA,
"Boa tarde, @5521969191621 ! Realmente um bom texto para discussão.",Conceitos Técnicos e Fundamentos de IA,
Tenho alguns exemplos relativos a direitos autorais,"Questões Éticas, Regulatórias e Sociais","Regulação, Direito e Governança da IA"
‎Luiz Peixoto.vcf (arquivo anexado),"Questões Éticas, Regulatórias e Sociais",
Acabo de receber um convite. ,"Questões Éticas, Regulatórias e Sociais",
‎IMG-20241214-WA0005.jpg (arquivo anexado),"Questões Éticas, Regulatórias e Sociais",
https://www.youtube.com/live/TRl5ulEsEdY?si=HdgvzJ7qTCCe4Rgz,"Questões Éticas, Regulatórias e Sociais",
https://youtu.be/AFurCSh1APU?si=yFb2aG91jhjPx5CC,"Questões Éticas, Regulatórias e Sociais",
Obrigado por avisar,"Questões Éticas, Regulatórias e Sociais",
Não sei como foi ativado,"Questões Éticas, Regulatórias e Sociais",
Vou verificar a api,Ferramentas e Plataformas,Código e Bibliotecas
Essa atualização do chrome está muito estranha,Ferramentas e Plataformas,
Sim,Ferramentas e Plataformas,
https://www.youtube.com/live/np89NA3bWIA?si=bw74G6OZ-ZL-9d_2,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Mais varas de pescar.,Conceitos Técnicos e Fundamentos de IA,
"Parece que David Ondrej conseguiu automatizar a tradução de seus vídeos. Existem também os vídeos em sua versão original, que, pessoalmente, prefiro. No entanto, assistir a esse, mesmo com sua tradução mecânica e acelerada, pode oferecer uma ideia do processo. É melhor assistir a algo que não entendemos do que buscar referências sobre algo que nunca ouvimos falar. <Mensagem editada>",Ferramentas e Plataformas,Zotero
